nohaaa,2a5eraaan
lessa,bs ana msh bakol ashn el fostan hehehe
bs wait sawani haklm sahbty ashfhma fin,5las ya bnty msh mohm mdam msh hatkly
Ana haro7 ageb akl w aklo ana,Msh 3ayz ala5batlek yomek
laaa manta  olt reef dmashki !!,di kelmt el ser 
msh hatlkhbto,enta fin ?
F elbet,Wenty fen
ana taht beit sahbty f smouh,hanruh el genenina
Eshta,hashuf eih kalaam w then hashufk fin
lw fady hagylk,La 5las ro7y enty elgrad bta3ek 3shan mtt25arish wana hanzl akol w arwa7 anam shwaya
ma haram takol alone :(,Ahh
tyb  mana inwill do my best matklsh alone ok ?,Ya bnty la fokek mny ana haro7 3ady lwa7dy
:( msh ayza,hahawel
bahb el soura di,Wad7 en elgrad kan 7lw w hyasty w nsetiny asln
walahii la2 walagi,mobili fasal baad ma watsaptk
w lessa fate7 nw,ana w2fq gamb el fisha
:(,aaln ana mokt2ba awi
ashn knt ayzako tb2o mawgudin,w tfr7uli
M3lsh b2a,Elmohm enty etbsaty
a2olk ala haga,ektahft mn nos sa3a en tickets knt khlst
w guests dkhlo be blash,marwann mmkn afhm malak
Hwa enty knty lsa a3da l7d minute nos sa3a,asl maknsh fi had yrwhni
ghir sahbty w khatibha,w maknsh fih city cab
w mami mahyt badri awi,Eh ela5arek kol da bara
mahi makhlstsh 10 khelst met25r sika,W rwa7ty emta b2a isa
yaani mn noss sa3aa,marwaan
Aiwa ya hanm,Mafish ta25er kda tany enty fahma wla l2
enta btza32li ,?
Ah 3shan mtt25arish tany kda wenty lwa7dek,maknah hay7sli haga yaani
La brdo,khayf alia wala eih 
L2 bashfek 3leki ,btshfk aliaa ?!
hahaha,w baadin htfdl zaalan
La 5las msh za3lan,Bs msh 3arf a7el 7aga 3ndy f elsec bokra w hat3la2
hahahahahhaha haramm,tb ass3dk 
Eh y3ny hatigy tt3la2y m3aya,laaa2 a7ell ya lozar
<media omitted>,Etfdaly 7ely
bgd bhb el soura di,Da cad ya beda
Wana kman b7bha awy,hahahhaha
bgd ?,Ah wen3ma
hehehehh,3amla eh ya bet
eigh ya walaaaa,Ana f myamy w lsa hanzl nw arwa7 
Rabena yostor,yanharrr
tb take careee plzzz,7ader
Rabena yostor,tameni lama twsal
7ader,Wsalt
Kan 7lw elfra7 2day,??
yessss awiiii,hamdelallahh
awyy ya marwan,ana bgd omri ma fer7t ekda
keda,Tb el7
shoft ek soura ?,Souret eh?
Ahh 7lwa awy,:D
W elfostan kman shaklo 7lw awy,bgddd yayyyy
Hwa msh bayen awy bs shaklo 7lw,wait hawrik
Haty sora kda 3adya,hader
<media omitted>,Ahh 7lw awy
Da men el3ares elso3'anon da,hahahhahahah
akhoha,Ahh amor brdk
hahahhahaah,malak ?
Mali mna gameel w 2amor aho,Kan 3ndy sp enharda
bgdd ?,embst ?
shaklk mah mabsot,Ahh kan 7lw awy
Shoft dof3ty kolaha,yayyyy hamdllll bgdd
Kol elnas ely etfra2o f elaksam eltanya,ahhhhh tyb helwww awiii
bgd todayy,hassit en lama ayza agy atgwzz
w atkhtbb,ento eli tkono f khtubtu
el nasss el hatkon far7nali bgd w ba7bhm bgdd,Akeed tb3an dana h2awemo asln minute gambek w a3od ana 
hahahahhahhaha,yallaaa binaaa hahahhaha
Ahh wlahy lashilo w a3od mkano hatshofy,Fy e3trad aw 7aga 
heheheh hwa ana a2dr,Ahh ba7seb
Ana hnam b2a 3shan msh ader,eih ya wala
Eih ya bet enty ya bet,3amla eh?
Aked mksara minute embar7 s7,ahhhhh awyyy
Tb3an manty harety nafsek ra2s w hesa w sha5aliil l7d matksarty 5als,hahahhahahahaha
Bte3mely eh?,f greek club maaa ahli
Aiwa b2a ,Da fy shwayt mozaz hnak
Osteeeeek ,hahahahahhaha
Msh hta5diny mara m3aky wenaby,hahahh mashii yalla binaa
Heeeeh,ana ayzaa agy 
bs yum kam w kam,17 w 18 t2rebn
Homa msh el5amis w elgom3a elgayen l2 elba3dihom,bgd ??
tyb has2al mami,yaa tab twaf2v
Enty msh hatro7y m3 gdetek,mal2tsh maad fl sefara
:S,Yala a7san 3shan tigy m3ana b2a isa
yaaa raaab,enta amel eih
Mday2 awy,mana hassa :/
malak,??
Mobily etmasa7 kol 7aga minute 3leh w t2rebn elsoftware w2a3,yanharrr kol haga
?,Ahh kol elsowar w ela3'any w elvideohat etmsa7t
ekhssss,E5s gdn
:(,fin mabrok bt3ty
:(,Mabrook bt3ty :p
Bs ana mfhamtsh enty esht3'alty eh brdo,W b3den eh elsho3'l elbta3rafy enk nazlah blel da
laa hwa kalmni mn sa3aa,mana asli mobilikan ma2fol yest w today
ashn fasel ketir,marketerr
bokra hafhmk isa,lama aruh hehehhe
5las tmam,Ro7y w t3aly fahmeny gary b2a
hahahha,marwan
malak ?,enta afesh meni ?
La wlahy 5als,omal ?
yaani enta tabi3i ma3aya keda ?,Ah wlahy
Maly,u weird w gheles w cold keda maaya
Msh asdy wlahy,Yemken 3shan zah2an msln
Msh 3arf,Bs wlahy msh mday2 menk
aiwa bs lama btkon zah2an mabtkonsh keda,Mmkn ashofek bokra 7ata 3shan asbetlek
marwan tb mmkn tefhmni medy2 mn eih,ashn am sure enk mdy2
ya marwaana,Enty bokra mostashfa eh elray7aha dy 
el salamaa bs ryhin nady andna campaign hnak,Hya fen elsalama dy
f wesh kolit teb,Tb w eh elcampaign da
shoghll,hafhm bokra isa
Mashy adiny mstany aho,Msh 3arf ana elsho3'l elmsh bytfham da 3'er face 2 face
hahahhahahaha,ana asli mah fhma awi
ana fahma hagat,w hagat kessa
Ya slat elzen ya slat elzen,hahahahhaah
Tb agy m3ako elcampain,hahahaha taaala
Hsra7 sha3ry wlahy,hahahhahahahha
law keda mashi,Tb a7la2 da2ny wla l2
laaa sibhaa heheh,5las 7ader hehehe
hahahahha,Hatsomy??
7assab,el masgs feha 7ga 3'alat :((
mesh radya tt7ml,2ewaa ea nanii
hatru7y le suhad,emta w ezzay ?
Bdry isa,2sdt nezabat nrou7 ma3a b3d
oghma 3alaya awl ambre7,msh hynf3 asou2
w msh 3yza at7arak le wa7dy,Salamtek ya soso
Bosy ana w 3mr ry7en lo ynf3 n3dy 3leky ok,ya rit momken atla3loko 3al ba7r
bass around kam ?,Hzbt m3a 3mr el sa3a w 23dy 3leky
:),Nt2abel f glem 3 b7r
:),Hwa 3ayz yro7 bdry mlnash d3wa beh hnsebo f ay 7ata bs ywslna bs
:DDDD,soso
2olily average aghaz emta,3shan baghaz fe sa3a :)
inshallah,3erfet an2el el file
rabena yekhali google,shatoura ya benti
Di closer ashan yban colors,Helwa awi 
Wl living kman,Hai
El ragel ykhalas then hasawarha,Zaars qute
Yeas and ze lefeng is more quter,Cutar**
B2olek 5ali nour tgib her laptop with her blel,3ashan anzl songs w5ls
Waaw,Eh
Aii ,HAHAHAHHAHA
Shiftiii,Amlti sweet?
B3ml Aho,HAHAHAHHAHA
Yanhar,3adi 3adi
Kda kda Amir haishofha bokra ,Bnsba l mommy 
Anita Malha ,Malha?
La Malhash Ana l mdy3a ,Bt3mlo a
Nor ata3,B2alo shwia 
Allah ,Ya halawa
Kont bkamel el box,Bed Khali black right?
Beeco,Set bta3t hema joe gat tani w a3dt tzaghrat nos sa3a 
Bfkr agelko lama a5ls,Fatek
W malo,Hia moktan3a en Ana el 3rosa 
Yala fal 7lw,Mbrook 3aleki
Lsa makhalastish,Bas da el amlto yesterday
Hlw awiii,Bs da yt3mal b ehhh
Look it's a new idea badal guest book,Haikon mahtot next to it
Small papers kol wahed ykteb w yrmi inside it,Lsa kman hahotelo duntel ashan yban
Howa aslnn shakloo hlw awiii,Nadooo
Eh roro,Ehh a5barr
5lastii kol haga wla ehh,Ana Khalas msh adra !
Khalast box,W tree w pics fadl tet3la2
W just wait,Amlt black w white
Hanshof which is better fl pics,Yess nour wrthalii
Rohii namii nw,Ana lsa fl shar3 
Feen !!!,Barken now
Konto fl sha2a !!,Yes
Show me ur dress,Lessa bkra 
Wtf ,Leeh??
Bytkwaa w kda,Bateekh da
Ahdii ya welyaa,Kant tediholik today yaani
Naymii el bet 3arousaa w adl2ii gmbaha,Kant lessa btzbat hagaa
Lama ashof el bed Bas el awl,Htshofiih isA
Yarab,Lsa hazabat hagti 
Lebs w kda ?,Yes w lsa fe hagat fl pics
Ana nfsi a3ish,Lw f haga lessa sbiha w n3mlha ahna bkra IsA henak
Mana saiba t3li2 l pics l bokra,Omal ht3la2ihaa nw mslan 
Knt bfakar ah ,Namii plzzz
Lsa b3ml hagat,:(
Hdarii lbskk w namii,W 5alii nada tnam plzz
Leeh manemtish?,Nada namet
Mksla ad5ol serir ,Shofti soso
Malha?,Monhara 3eyat
3shn dress,Ah knt kol shwia m3aha fl phone
Hasa en dress hayetla3 helw zai kol mara!,Hia amlt eh tib now
Shaklaha naima,Bs ana hassaha schizo
Hya altli htroh tstlmo atv8,W 3yza troh le coiffure
"W mmkn mt7otsh makeup 3shn visa msh sh3""ala",Hia lsa mastalametish!!??
Noo,Bkra at 8 isA
Ya mosahel,Howa welad hygebo ties when wla gaboha
Anas 2alii ambrih f gras en amir lessa mgbhash,Fa lna ts7ii ask nada braha
W sister of bride w bridesmaid el pins d astlmtha wla when !!,Nadoo lma yfdii rodii
Howa Amir el haigebha?,Anas kan ail l nada eno haigebha
Ma3rfshh,Howa ambrih 2al en lessa mgbosh
Msh arfa,Tyb pins ehh
nadinee,ana mehtasa f heels
hwa andoko heels oxidee aw fady ?,Ana msh andi
W nada wadet el tani el beet,Shofi Raghda
okiii,amalty eih yest
Ahe msh adra ,Etsahalt
heheheh maalesh,bs tr7aaaa
haghyrha,Helww
Warini back,ana mshit
back maftoh,Maftoh eh.
mn wara mafoh bel satin bas,Ah Okai
finko,Sha2a
Nada home,okk
:),:)
tmam el7amdovleaalh,w enty bosili fareda
eb3tili sora gdida leha plzzzz,:)
El7amdollah,W anto
Bosili yoooyoo,<media omitted>
yaty yaty yaty,ya 7'alasyyyyyyy
bsm Allah msA :*,Shofti ba2a
Bas zanana ya moni,W 3ayat
:),:)
el sekka kanet latifa alhamdulellah,tamam
keda matgish today b,3ereft met2akhar awy we kano gaybenly
Inv fel academy,ana nafsii
arft mt25r walahi bs its oki,Mabrrok
yesss awiii hamdllll,bgd
Elhamdellah,wenta ?
Ah was nice,west el balad :P
Fen,f hfla
f antoniades,Bethazary
7afla gamda y3ni,yesss awyyyyyy
Bethazary,Tan helw awy
Mohamed khaled khairy?,La2
Tayeb meen?,Frabbeeeh
Ahahahahahahhahahahaha xD,3amel eh
Ana el7 kwys! Wenti??,5addetni olt lw msh mohamed khaled khairy haykon meen :O
Ana mashy el7al,Eh a5barak
Mabsoot,Mabsot el8
El7,Enti bt3mli eh fe 7ayatek b2a :D
Esob7 badry gym w b3do madrasa w ba3daha sho3'l fmagazine kda w b3do ba5rog m3 hekmat w mariam w kda ..,Zh2t fsh5 xD
Kol yom zy eltany,"W msh tay2a nas, 3aref elli be3mel effort 3ashan trod 3alehom? Aw ay 7d gdeed 3arfo ya3ni"
Ana baraya7 dma3'I wab3edhom 3ashan ma3adsh 3andi ay maghood abzelo fel kalam m3 elnas de aw 5ol2,"Lama bat3arraf 3ala nas el limit bta3hom byo2af 3nd ""eshta a3rafhom"" :D"
Tab w leh 3amla fe nafsk kda ya mama :D,Heee7 ana sleepy fa bahartel
Fokak men kol da xD,2olli bt3mel eh hnak
Wana msh mama,Ana baroo7 gam3a. Asee3 m3 so7abi shwya. At3rf 3la nas gdeeda. Gym. Kora. 5orog
:D,W nazel emta masr?
Nos 12 kda,Matigi
Ana elsenior trip bta3ty 3andak,La2 sa7i7 enta b3eed
Bs eshta momken teegy hatkoon f ny w orlando w miami,Bs hatb2a b3d 12
Emta?,Ta2reban shahr 3 aw 5
Lsa badry,Ah :D
:),Hyb2a 7elw awi aked
:),:)
El7amdo lel allah wlahy kont hs2alek bokra,3malty el akl wla kaselty
:),Bravo 3leki...wlahy a7san bala ham
l7d dlw2ty nafsy afham leeh madrasa fy el seif,:)
walahi nefssy afr7 bikooo,Walahy e7na elly 3ayzin nefra7 beiky ya sosoo
hehehehehhehehe,Ed7aky ed7aky ya nonaa :D
hahahahhahahah,Ana 3ayz ashofoo
wanaaa awii,7ayb2a youm kam ?
msh arfa i guess 10,Mashy momkin
tarekkkkkkp,Eeh
guesss who got accepted fl salamaaa w hatbtedy tom isaa ??,woooooohoooo
Mabroooooook,lessa mklmni nw
Lololololooooy,alllaahh ybrk fiiik
Rimee,3amla a ?:D
hayaaaatyyyyuuuu,Wohooo *dancing*
Mabrook ,woooohoooo
Riruiiiiii,$hklk kn ygnn yest bgdd
habibiiiiiiiii,To7faaa
ngdddd bgddd ???,:)
La2 bgd to7faaaaaaaaa,yayyyyy
walahi di sahbtk nanaaa eli assart,en dohaaa
thotli,Aywaa 7talek ygenen
Etbassto?,awiiiiiiiuiii
3o2blk y riri,mwahhhh u tooo
777lma tb2i Fadia call me,Ento lsa fl beit?
Lama Tigi tom,Amir 7ygilek
E7na asln ry7in m3ako abotalat tomorrow isaa,Rg3in when ento men henak
Hayegi when,Eh da Bgd
Yaaaay,Shofiha lma trga3i please
Ydrbk lw mb3tish,Tah agi tomorrow
Geba ezaztein maya b 52 gneh ,Maya safy
Wlyaaaa,Eh ya babe
3mla a,Ba2olek pls
Short Mizo l white mtnshar 3ndna kan hwa w shirt l ko7li l polo w boxer w fnelten,Ento Amleen eh
Fen Homa?,Ask mom Kda Homa Kano mtnasharin
E7na we're great e7l,Elhmdl 
Emshi ya bet mnn hena,Leh ya Wlya 
A3da bt3mli eh hena ,Egri ya wliaaa
Bntfrg 3l tv,Ezai yaani 
Btetfargo ala eh ,Mashi 
Nroh beet sobh Abl about talat?,Ah isaa
Ana 73di ALa henak l awl,Isaa
nadiiiiine,:)
Amlti ehh ,hat ido yah aka albi yah 
ayzaa aa3rfkoo alihhh awii,nadine hatruhu bokra el sha2a ?
ayzaaa agyy,Ehna there
Homa gayeen tom,bgd ?
ento baytin wala eih,Msh arfa
yihh,ana asln kalmtoko
bs kan bydyini ghir mot7,tyb yaani bokra htkmlo farah wala eih
Laa tom homa gayeen hena,ahhhh
tyb :/,lw beito
hagylko el sbh isa,oki
badri,Okai
nadine eshr7ili el beit fiiin,pl
Eh da meen hataha?,helali ba3thalo
Fe tani?,yess wesh
bs dol el bedaya,Ana wsli one bs
maho manzlsh,ana eli tlbtohom
I want Ana w nada fe? :(,weshhhhhhh
Helween awi,haderr
nadine,ana bahibkkk awii bgd
Haha wana kman Sisi ,mwahhhhhhh
mwahhhhh,Ha la2eti pic?
lessa babu,Ok 
wlaahi oltlo l helali 3 timess,Howa msh Borid
Birod*,Okai
lessa byshflk,Okai
ana arfa eni wahshtkk,Bs enty el 5asranaaa
Knt hagilekkkk enhrda,:)
kntiii gayaalii homeee,wahshtiiniiioi awiii
Aywaaaaaa,Wentyy awii walahy
yooooohhhhhh,baolk eihhhh
Ouliliii,<media omitted>
!!!!!!!!!!,Ehhh el bey7saaall daaaa
Ehhh el ana shayfoo daaaaa,walahi ama nafsi msh arfa hahahhahah
ana khyfa awiii,Haghahahahaahaa
msh bhzr,Ya 5ofiiiiiii meneekkkk
Tyb ehhh e7kiliii,Ento fe anhy mar7alaa??
Opaaaaa,Howa 5alas kolya??
ues byshtghl,mahoo faytk ktirrrr
ayza ashufk,Ana 3ayzaa a3raaf kolooo kolooooo
aywaaa wana ayza ahkiiilkk,Wana kamannn plz
enty kaman ayz thkili,Hahahahhaha
A7kiii ehh ana ra7et 3alaya :D,hahahahahahha
Entyy warakii masayeb shaklekkk :D,anaa 
Ana 3'ebt 3anek ketiir,We walahi albi kan 7ases en waraki kessa :D
Kan shaklk 7elw embare7 ya 3aroussa :D,bgdd ?????
guesss who got accepted fl salamaaa w hatbtedy tom isaa ??,Lololololeyyyuuu
Which salama ya wa7sh,Mabrook ya soskaaa
Pssttt,Ezaykkk
3aml eh w  eh a5bark,Tmam el7. Wenti?
Kwyesa e7l,Eh a5bark
"El77 kwys awi!! Kollo mashy tmam! Enti mas7oola f eh el yomen dol,",?
Assignment gam3a ,Msh fadyaa
Wallahi t3btt,Leh bs kda. Tab emseki ed7aki shwya
<media omitted>,Ahahahahahaaaaaaaaa
Msh adraaa,Da7ktenii bgd
Nadoda el cute Enti feen,Amir nayem bs
Ento wslto?,Seka
Hatigi when ,72wmp now
Okai yala,Skhdf b2olek 10 mins Kda 7nlbs w nsali w nigy
Sistaaaar of the brideeee,Eh roro
3mlaa ehh ya hyatyy,I'm good elhmdl
Wenti,Hmdlilahhh
Ehh sh3oreekk,B2oliikk ehh
Bfakar bkra isA sobh,Nroh amir w nada's sha2a
W n3mlhom heart bl ward 3la serir w balloons w kda,Ehh ra2yeek
Ana 2olt le sisii w ra3'daa,Ehh ra2yeek trodiii
Bt2ra w mtrodishhh,!!!!
Sorry knt b3ml hagat fl room,Helwa fkra di
Bt2olii ryhen abo3 bkra woth family,Arod a2olha ehh o5tkk diii
Ah sah :(,Ah sah
:/,5alihaa mtrohshh plzz
Tib mmkn law aizin a3mlo kda w yla2oha lama yrga3o mnn abo talat,Eh ra2yil
Ma 3shn ward ykon tabi3iii,Fa abl ma yrga3oo b yom isA n3mlha
Ah sah :/,Tib mnkn balloons bs
Mashi mmkn brdo,Msh kda kda tnt fl 3omara henak ?
Yess,Tybb abl ma trga3oo ahna nrooh isA
Happpy hejaaaaaab ,hayatyyyyyyyu
lessa knt hab3tlkkkkkkkkk,kolll sana wenty tybaaaa
We enty taybaaa,Rabna ysbtna b2a
ana assfaa,ana ba3tlk el potser yest
Fein?,walili92
Mabrook mabrook mabrooookkk!!!!!,Hahahahahaa thank youuuuuuuuuuuu bbeeeeeeeee 
7abibiiii,:)
<media omitted>,Ana f 3rbiaa lma atl3 hashofoo
<media omitted>,El video kollo grey 3andy
Zat sucks,Bs sme3t
Hahahahaha tab a7san men wala 7aga. Walla eh,Walla eh :D
Hahahahaha tab enti el fa2areya :p,:( aywan
Msh la2ya 7ad ye cuddle m3aya f bard el sheta ya meshmesh :( !,:( tab ana nefsi agilk
:( msh hateegy?,Tab hagy lmma el dnya teb2a bard awi fe December!
\O/,Heeeeee
:),<media omitted>
:),:)
Nadooo,Homa nada w amir rg3een when mn abo3
??,I guess Wednesday
Bas Ana harg3 tom,Fa law kda mmkn n3ml room together
Tyb at2kdii when bzabt 3shn nroh abliha b day,Yes kol bridemaids isA
Okai,Yes isa
rag3in emta mn abu3,ya bet
Ana tom or after,W homa Wednesday
Eh ya captain,Khaiiiirry
3aiz eh,Ma7na etafa2na. Gai a3akes!
L2 ana matf2tsh m3ak,W yalla yala mn hna
Ya benti enti betkalemi meen kda?,Ana lw nafa5t feeki hatetsha2lebi
Fo2 lnfsak kda w e3raf ttklm m3aya ezay yad,Hahhahaa
:),:)
:),:)
:),:)
:),:)
shofty el video?,"away , ashrar awi"
ya mitroooo ya 2mr,wa7shteneeee
w wa7shny 3amoryyy,:*
U tooo wallahiii,el7amdo leallah
Yoyo 3ml eh,sah2y :(
Omar metl3 3rn ahly,malo bs ?
Sha2y awiiiii,W msh bynam w msh byry7ny
ya bnty yemkn 7aga wag3ah,wadteh lel dr?
Noooo,Yes
ahhh w ye7iaa,3aizny daimn bl3b m3ah
Msh b3rf a3ml 7ga mno,lazem 7ad yeklmo w yel3b m3ah
wala ana :( ana bsra7a mesh b3ml 7aga 3'er lma yenam,Sa3bbbb
rbna yehdehom bgd,2olili
lma bt7oty serelak 3ala el labn,be nsbt kam le kam ya3ny?
Bosy el dr a2ly balash,W 5ososn el serelak el lbn wl am7
ahh,Elii howa 2
lisa gybah enhrda,Bs # 1 ba7ot m3l2tan talta kda lbn
ahh,Tc balash da b lbn 5als
awya mashy,3shan haykon te2eel 3lha
W don't worry lw rag3,7ga normal
Kalteeh,??
klt eh?,Yoyo akl bet3na
mesh fhma :D,ahaaaaaaa
awya awya,Ana aklt omar kosa w gazr
w ana,kosa w gazzar w kometra
Apple & orange,laaa laa gebna noo
Chees,mamno3 ay montgat el alban
Kometra noo 7lwa,3'er b3d sana
??,balash gebna tmamn
awya de gamila,kometra
Mabrob fl 5alat ??,maslo2a w mahrosa
ana kol el akl ba3mlo keda,mslo2 w mahros
Madrob *,aw madrob fl 7'alat
bs lazem yetsl2 tab3n,Lisa mt3lmsh el mad3' ??
laa mlhash 3laqa ya bnty,bs 3shan btnhom
enty momken takli kosa nayaa?,lazem el 7aga tkon mstwey
Bosy sa7btii bentha ad yoyo w bet2oly lazim. Yet3lmo el mad3',Nooooo
I mean enha msh betdrabo fel 5alat,ahhh ana bahrsio bs el sara7a
3shan fe3lan yo3od yomdo3' keda,w bdeh 7tt 3esh fe 2edo byo3od yakolha w yomdo3'
Eshtaaa y3niii,w bdeh bskota maslb
??,Asly bktn3 b kalamk enty besar7aaa
eshme3ya ya3ny?!,yareet wallhy
Ba7sk fahma,Fa bakon 3auza as2lk 3la kol 7ga b3rfha
Msh hategy soon,es2li y 7abbty ma ana kaman bs2lk
yareeet agy,wallhy dyman ba2ol le ma7moud
ntmn 3ala babah isA bs w nege,bosy ede 3omr 7agat fe 2edo keda ye3d3d feha
Msh msada2a leeh,Cuz I told u before ull miss me mkntish msd2ani
Mana bstahbl aleeki ,Lsa btaklo pizza?
3mlna fra5  l mashweya Bl 3sal,Eftakartoni Akeed
W akid pizza ,Sabah ya sehnaaa
Hahahahaha,B2olek a
T3lelna home Wednesday,:)
Mashi ,May halawaaa al halfana 
A?? ,May halawaaa al halfana 
A daa,Ya halawa 3l halfana 
A halfana d,??
Aklo mnn gheeri ,Hahaha Leh
Ashan et2akhart,Bas fe albums adima 
Skhdf,3ndk picture omash l salon
Tb enti fakra l cushions kona gybin Omash black wla la2?,No msh fkra
Mommy 3yza title,Tftkr
No msh fkra,Bateekha
Ya koloko,Lolooo
Ya koloko ,Btetfrago ala tv brdo?
Hahaha,Ahee
Ala eh?,Ento fahmin l gawaz 3'lt
Sala7 din,La Ana fahma
Mara qute,B2olk
Ento t5lso tomorrow when,Oli
Ana andi mnn 12:30 w mmkn asebhom wamshi,W nor at 4
W nour,Shet ynf3 tsta2zen badry
Fa mmkn Nkhls clg w ntla3 aleeko alatool,Bt2oli mmkn azawagh 
Ya3eni ya benty,fakra nfsaha f madrasa
Howa meen rayeh tom,Hulk w na5la in
Dk l ba2i a,Ento w Raghda in
W Raghda w an aw Nour,Ana w nour*
Shofi ala she's married,Wala Ana ask?
Ask enti Kda,B2olek ya walrus
Wlya,Homa 7yt7rko 3la 1 Kda akalam
Zbto m3ahom w come early e get food,Ana olt l Raghda hakhalas w nroh
T5lsi when enti tah,Mfrood y3ni
Ana andi mnn 12:30,Lsa m3rfsh Bas hashof kda adihom loha w amshi
Mmkn,Yarab
Mashi wento da5lin hatili nos kilo potato w nos 5yar w nos tamatem w rob3 felfel a5dr,Eshii
Ana fkst college,Yala ya fashla
Meshmesh :*,7abeebet alb meshmesh 
Ta3la bbm,Mashy
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),otlobiniy
:),:)
:),:)
:),:)
:),:)
:),:)
Sisi,Gaia when?
5 6 akhls work,Hatigi?
ke ento hnak yess,No lsa marohnash bs raiheen now
okk,B2olik eh
Matbati m3aia,W nemshi el sobh
workk 9 Am,plus mami asln ayza car
::,7 amm andaha shghl
naa asln ndy2aa  i misss uuu and naaaadaaaa awi,Me too Sisi 
Mariam ana b3ml project kda me7tag fih what's app chat history. Ynfa3 asta5dem chat history bta3ek?,Mafish 7aga hatet2eri. Byet7ato fel computer wel computer bey-analyze 7agat kda
Knt b2ool fih eh :D !,Aham 7aga
Eh?,5alas eshta
Tayb peace. Ha2olk te3mli eh. enti 3andk bb desktop manager?,El kalam msh beywsal leh m3rfsh
Rana ana b3ml project kda me7tag fih what's app chat history. Ynfa3 asta5dem chat history bta3ek?,Mafish 7aga betet2eri
Eh dah project eh?,:D
Tayeb mashy,You need a computer. Fa enti fadya emta?
Ana msh fahma ana elh3mlo wala enta :D,Enti hateb3atili el chat history. Bs e7na msh 3ayzino copy paste. 3shan msh e7na el hane2rah. Bete3melilo back up w teb3atih email. Hawaraki ezay. Olili bs fadya emta
Mana elmobile msh by3ml back up aslan :S,Leh??
Enti fen tayb?,Mobily lama bagy a3mlo back up byfdl y3ml l7d 90 %ba3deen y3la2
Msh 3arfa a3mlo back up men sa3et ma gebto,Enti fen :D
Beet bas nazla :D,5las. Lmma terga3i nekalem ;) 3shan msh el back up el 3adi asln. Taree2a mo5tlfa kda :D
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
7lwa d?,Waleyaaaa
Waslt?,Ana w2fa mstnya trodi
Haaaaa ,Lsa btwsal
Di 3liha eh,Kda heya
Mana msh fahmaha,Wait 7twsl l pic isaa
di flowers wala eh aleeha,F b3d Kda
No msh hasa,Sada 3ndi will be better sa7
Ah,Mklnash fl bet wala Mara aslena
Ana asln mkasela,Bt3mli eh
Brw2 room,Hatroho at 6?
Ah isaa,Yow
L kobaya bt3t l forash etksrt,De 
Ah walahi ,F2reya 
Ageblik wahda Tania wala tz3ali ,Tomorrow abo3 isaa 
Ehna meen m3ana,Ana Wenti w Mizo w mommy
ne2ool mabrouk?,Alhamdullah
kan kwayes,el hamdullelaah
Sub,Magnona
My jeans et2ta3 ,Enti andik mosh kola f rglik
Eh 3mla eh,Tmam el 7dl enta 3amel eh
Zy el fol el7!!,Enti bt3mli eh kda?
Tv,Enta bt3ml eh
Ana a3ed fel serir msh bahabeb 7aga. Wenti?,Tv msh batayen 7aga malal moribb
Btetfaragi 3la eh,Mbc1
Hwa actually mama el bttfarag,Ana a3da kda
Hahahahaha tab habebti ay 7aga enhrda?,Walahy
Wala 7aga ._.,Enta habebt 7aga ?
Ana lessa el yom hayebtedi aho,Isa hakol now
W haro7 el gym m3 sa7bi,Ana arab yentehy
Aywa b2a,3ayzeen bench ya meshmesh
W b3d kda hakol m3 el 7ag w hashof m3 el shella hy3mlo eh belel,Ah isa lmma arg3 hakon zabat el ada2 :D
lma tes7a la3'eny,ya 3amona
Blbs aho,tyeb
lsa kteer?,el sa3a 9
Koty,:)
yasta,:)
mna lsa ba2olha,da7kt w 2letly l2
Hhhh,Lol
23den bara wala gwa,bara
ya 3am 3ayz amshy angz,Nzlt
Ya 3am tal3t tany bgeb flos 3shan hatf3 fatora,3ayz mny 7aga?
T3ala central now,3ayzk
lih,anta fen
astana ana 3nd el 7arm,Msh olt hatrkb flki w tege
w abo 5aled w gy,3amlt el slsla
:),:)
w shotk fiha,w hatly 2omk ta5odha
:),ha
Hmara ,Ana 73yt kol mtl3 t7sl 7aga 
M3lish elhmdl en bihsal f hagat Radha,Tafha*
Yeas e7l,En elhmdl mafish haga akbr mnn. Kda
Ana aiza msh andi gheer 1,My charger 3ndk
Ya lolooo helwa,B2olik eh lazm nenazl series kolaha
Eh daaa,Glee 
I watched awkward today ala MTV,Gabo like million epi
Helw,Yeah
3yza anzl w ntfrg together,My laptop entaha men zmaaaaan 
Ana Leh gamila kda f awl pic,Matsend kam pic kdza
B2olek blz get zem and my flash lw charger wiz u tomorrow,Ana fl bed
Hatetlik bikshars al flasha,Awl wa7daaa
Ht3mli eh today,Ento gayin blel?
Uncle tamer mafish haga elhmdl ,Yea I knw e7l 
So zabato w tell me,Ana today I'll start work 
Emta?,Yaani 1 or 2
Nada,My hair a3d biftah lwahdo
Khaifa asha ala2i nfsi b2et blonde,Aheee
Mat2asartish bl b2olo ,On Mohamed wana
Om*,Enti bt2oli haga?
Fen l pic,Haha
Pic eh,Bt3t ur hair
Wlya,Enti fen
Ry7a fen,Shar3 scoria then work then htl3 aleeki
